prompt_id,task_id,task_name,format,presentation_order,expected_answer,task_type
task1_format_s,1,simple_sum,strings,1,54.5,arithmetic
task1_format_n,1,simple_sum,numeric,2,54.5,arithmetic
task1_format_w,1,simple_sum,words,3,54.5,arithmetic
task2_format_w,2,mean,words,4,13.2,statistics
task2_format_s,2,mean,strings,5,13.2,statistics
task2_format_n,2,mean,numeric,6,13.2,statistics
task3_format_n,3,weighted_average,numeric,7,17.5,statistics
task3_format_w,3,weighted_average,words,8,17.5,statistics
task3_format_s,3,weighted_average,strings,9,17.5,statistics
task4_format_s,4,percentage_change,strings,10,33.3333,arithmetic
task4_format_w,4,percentage_change,words,11,33.3333,arithmetic
task4_format_n,4,percentage_change,numeric,12,33.3333,arithmetic
task5_format_w,5,unit_conversion,words,13,5500,conversion
task5_format_n,5,unit_conversion,numeric,14,5500,conversion
task5_format_s,5,unit_conversion,strings,15,5500,conversion
task6_format_n,6,probability,numeric,16,0.027778,probability
task6_format_n2,6,probability,numeric,17,0.027778,probability
task6_format_s,6,probability,strings,18,0.027778,probability
task7_format_w,7,slope,words,19,3,algebra
task7_format_s,7,slope,strings,20,3,algebra
task7_format_n,7,slope,numeric,21,3,algebra
task8_format_s,8,standard_deviation,strings,22,2.0,statistics
task8_format_n,8,standard_deviation,numeric,23,2.0,statistics
task8_format_w,8,standard_deviation,words,24,2.0,statistics
task9_format_n,9,matrix_multiplication,numeric,25,"[[4,4],[10,8]]",linear_algebra
task9_format_w,9,matrix_multiplication,words,26,"[[4,4],[10,8]]",linear_algebra
task9_format_s,9,matrix_multiplication,strings,27,"[[4,4],[10,8]]",linear_algebra
task10_format_w,10,sum_sequence,words,28,120,arithmetic
task10_format_s,10,sum_sequence,strings,29,120,arithmetic
task10_format_n,10,sum_sequence,numeric,30,120,arithmetic
